CONTEC DATA LOGGER,,,,,,,,
Version,Channels,DeviceName,Resolution,SerialNo,Clock,Time Integer,SamplingStartDate,Number
4480,3,AIO-163202FX-USB,16,CONTEC0000,1000,1.49137E+15,"2017/04/05 15:21:03'000""000",10000
ChannelName,DeviceCh,Sequence,Range,ScalingEnabled,MaxScale,MinScale,Option,
Channel 1,1,0,0,0,10,-10,0,
Channel 2,2,1,0,0,10,-10,0,
Channel 3,3,2,0,0,10,-10,0,
Data,,,,,35068.678,35027.3338,35181.9909,
35067,35019,35166,,,,,,
35066,35021,35175,,,,,,
35069,35022,35174,,,,,,
35068,35020,35173,,,,,,
35069,35027,35170,,,,,,
35061,35020,35169,,,,,,
35057,35024,35169,,,,,,
35059,35018,35171,,,,,,
35059,35015,35174,,,,,,
35058,35013,35167,,,,,,
35061,35013,35162,,,,,,
35058,35013,35177,,,,,,
35061,35012,35167,,,,,,
35062,35007,35167,,,,,,
35067,35013,35168,,,,,,
35062,35014,35171,,,,,,
35065,35011,35163,,,,,,
35065,35016,35165,,,,,,
35066,35016,35164,,,,,,
35058,35014,35164,,,,,,
35068,35014,35166,,,,,,
35064,35018,35170,,,,,,
35064,35018,35174,,,,,,
35064,35017,35169,,,,,,
35062,35016,35174,,,,,,
35064,35022,35178,,,,,,
35066,35013,35171,,,,,,
35066,35009,35165,,,,,,
35063,35017,35164,,,,,,
35068,35015,35166,,,,,,
35062,35014,35167,,,,,,
35062,35016,35167,,,,,,
35064,35019,35164,,,,,,
35059,35017,35171,,,,,,
35064,35021,35170,,,,,,
35059,35019,35163,,,,,,
35058,35017,35176,,,,,,
35060,35020,35171,,,,,,
35062,35024,35172,,,,,,
35062,35026,35171,,,,,,
35064,35014,35166,,,,,,
35063,35017,35171,,,,,,
35060,35021,35170,,,,,,
35064,35015,35170,,,,,,
35064,35015,35170,,,,,,
35062,35019,35166,,,,,,
35063,35018,35169,,,,,,
35057,35015,35166,,,,,,
35065,35016,35171,,,,,,
35065,35014,35163,,,,,,
35066,35016,35159,,,,,,
35060,35020,35163,,,,,,
35061,35014,35158,,,,,,
35061,35021,35167,,,,,,
35060,35019,35164,,,,,,
35066,35018,35171,,,,,,
35068,35019,35167,,,,,,
35062,35021,35171,,,,,,
35063,35024,35168,,,,,,
35062,35027,35171,,,,,,
35065,35027,35174,,,,,,
35062,35022,35172,,,,,,
35061,35021,35168,,,,,,
35062,35018,35168,,,,,,
35064,35017,35166,,,,,,
35067,35016,35170,,,,,,
35061,35015,35162,,,,,,
35062,35018,35163,,,,,,
35058,35021,35167,,,,,,
35058,35021,35166,,,,,,
35059,35010,35161,,,,,,
35064,35010,35171,,,,,,
35064,35016,35168,,,,,,
35060,35012,35167,,,,,,
35058,35014,35163,,,,,,
35054,35011,35164,,,,,,
35058,35017,35165,,,,,,
35066,35016,35166,,,,,,
35064,35016,35168,,,,,,
35059,35021,35169,,,,,,
35065,35019,35171,,,,,,
35062,35024,35174,,,,,,
35068,35016,35169,,,,,,
35065,35020,35176,,,,,,
35068,35027,35169,,,,,,
35063,35024,35169,,,,,,
35063,35015,35160,,,,,,
35060,35022,35168,,,,,,
35064,35020,35166,,,,,,
35065,35018,35169,,,,,,
35065,35019,35158,,,,,,
35062,35016,35167,,,,,,
35064,35012,35170,,,,,,
35066,35005,35163,,,,,,
35067,35007,35164,,,,,,
35067,35014,35165,,,,,,
35070,35018,35164,,,,,,
35067,35015,35169,,,,,,
35067,35019,35171,,,,,,
35066,35021,35168,,,,,,
35065,35018,35159,,,,,,
35069,35013,35168,,,,,,
35066,35019,35171,,,,,,
35061,35020,35162,,,,,,
35067,35020,35167,,,,,,
35064,35021,35169,,,,,,
35061,35010,35167,,,,,,
35060,35015,35163,,,,,,
35059,35016,35168,,,,,,
35066,35017,35171,,,,,,
35061,35022,35167,,,,,,
35059,35018,35160,,,,,,
35063,35018,35164,,,,,,
35058,35020,35166,,,,,,
35064,35021,35163,,,,,,
35065,35021,35165,,,,,,
35062,35017,35163,,,,,,
35067,35022,35167,,,,,,
35066,35026,35168,,,,,,
35067,35024,35173,,,,,,
35066,35022,35179,,,,,,
35060,35026,35178,,,,,,
35061,35014,35171,,,,,,
35062,35019,35173,,,,,,
35066,35012,35174,,,,,,
35065,35016,35175,,,,,,
35064,35019,35169,,,,,,
35056,35011,35166,,,,,,
35062,35018,35164,,,,,,
35067,35015,35170,,,,,,
35059,35012,35168,,,,,,
35055,35024,35170,,,,,,
35055,35021,35171,,,,,,
35063,35021,35165,,,,,,
35067,35022,35169,,,,,,
35067,35020,35170,,,,,,
35066,35022,35168,,,,,,
35059,35019,35170,,,,,,
35061,35023,35164,,,,,,
35060,35020,35167,,,,,,
35058,35014,35170,,,,,,
35057,35022,35171,,,,,,
35059,35022,35168,,,,,,
35059,35016,35170,,,,,,
35064,35012,35167,,,,,,
35062,35016,35175,,,,,,
35064,35016,35171,,,,,,
35063,35014,35166,,,,,,
35059,35023,35163,,,,,,
35061,35017,35164,,,,,,
35064,35012,35165,,,,,,
35060,35019,35163,,,,,,
35061,35021,35160,,,,,,
35062,35016,35166,,,,,,
35065,35027,35168,,,,,,
35064,35020,35171,,,,,,
35064,35023,35169,,,,,,
35063,35017,35171,,,,,,
35064,35014,35163,,,,,,
35064,35013,35168,,,,,,
35059,35017,35166,,,,,,
35063,35014,35168,,,,,,
35060,35015,35166,,,,,,
35063,35018,35164,,,,,,
35063,35020,35164,,,,,,
35062,35023,35171,,,,,,
35062,35025,35168,,,,,,
35062,35016,35164,,,,,,
35063,35021,35164,,,,,,
35062,35022,35167,,,,,,
35058,35018,35170,,,,,,
35059,35009,35170,,,,,,
35063,35011,35173,,,,,,
35062,35012,35162,,,,,,
35059,35010,35166,,,,,,
35065,35017,35165,,,,,,
35061,35011,35168,,,,,,
35061,35012,35171,,,,,,
35056,35019,35170,,,,,,
35059,35012,35166,,,,,,
35059,35015,35175,,,,,,
35062,35024,35171,,,,,,
35063,35021,35174,,,,,,
35063,35020,35174,,,,,,
35066,35017,35167,,,,,,
35063,35025,35163,,,,,,
35067,35016,35169,,,,,,
35061,35019,35171,,,,,,
35064,35018,35164,,,,,,
35068,35016,35163,,,,,,
35063,35020,35168,,,,,,
35063,35026,35167,,,,,,
35063,35024,35162,,,,,,
35064,35020,35170,,,,,,
35065,35014,35166,,,,,,
35063,35012,35166,,,,,,
35064,35009,35166,,,,,,
35059,35016,35171,,,,,,
35064,35016,35168,,,,,,
35059,35022,35166,,,,,,
35067,35016,35170,,,,,,
35065,35018,35168,,,,,,
35064,35022,35167,,,,,,
35063,35019,35170,,,,,,
35061,35013,35167,,,,,,
35065,35016,35176,,,,,,
35069,35013,35169,,,,,,
35063,35015,35170,,,,,,
35064,35020,35172,,,,,,
35063,35019,35171,,,,,,
35062,35011,35171,,,,,,
35064,35016,35172,,,,,,
35062,35021,35174,,,,,,
35063,35016,35166,,,,,,
35065,35020,35171,,,,,,
35066,35018,35170,,,,,,
35061,35018,35163,,,,,,
35062,35017,35166,,,,,,
35064,35013,35168,,,,,,
35069,35013,35174,,,,,,
35064,35008,35165,,,,,,
35064,35014,35163,,,,,,
35062,35020,35170,,,,,,
35066,35016,35165,,,,,,
35064,35018,35163,,,,,,
35067,35017,35162,,,,,,
35065,35018,35166,,,,,,
35064,35017,35171,,,,,,
35060,35011,35166,,,,,,
35060,35015,35168,,,,,,
35064,35019,35168,,,,,,
35066,35021,35166,,,,,,
35066,35009,35171,,,,,,
35064,35014,35174,,,,,,
35062,35017,35172,,,,,,
35058,35018,35168,,,,,,
35063,35014,35165,,,,,,
35064,35011,35164,,,,,,
35063,35016,35172,,,,,,
35063,35015,35170,,,,,,
